Direct Assessment,Labour Force Population,Number of Records,Othregna,Other Taxes,Paye,Tax channel,Tax Channel value,Population density,Population,Regname,Road Tax,Total Employed,Total Unemployed,Total,Km²,Literacy Rate (In %)
1018839.42,995947.192153666,1,North East,1273323835.39,795582542.96,Total tax,2092708092.77,126.014492754,2365040,Gombe,22782875,727056.535419558,268890.656734108,2152817576.04,18768,39.3
302836486,3123271.13448935,1,South East,270328322.1,1613423398.8,Total tax,2267344038.46,710.228390597,3927563,Imo,80755831.56,2242920.26801589,880350.866473453,2556557822.38,5530,53.2
300440377.81,1553869.89064085,1,North West,1307957236.7,1406979784.11,Total tax,3148262379.52,188.347672108,4361002,Jigawa,132884980.9,1141942.71740819,411927.173232662,3688887463.32,23154,24.2
26131319.37,3504776.6366271,1,North West,521655232.17,2930453546.63,Total tax,3607184993.17,132.749288863,6113503,Kaduna,128944895,2564296.15833728,940480.478289822,5746586067.35,46053,29.3
59857047.27,4022761.24363199,1,North West,536802631.24,3424448578.61,Total tax,4159926681.41,467.005513884,9401288,Kano,138818424.29,2765631.25882096,1257129.98481104,7240785320.08,20131,48.9
45729815,1799855.08305541,1,North West,75374520,1556423705,Total tax,1705020662,239.814153439,5801584,Katsina,27492622,1542017.87481687,257837.208238545,1802476407,24192,21.7
111296795.38,1556976.40750431,1,North West,70253381.52,793821573.14,Total tax,979871750.04,88.492961957,3256541,Kebbi,4500000,1243932.75824155,313043.649262755,1204820823.22,36800,25.3
22820925.87,2463101.66763015,1,North Central,573430518.71,4714948044.51,Total tax,5413880789.09,111.086481413,3314043,Kogi,102681300,1977449.07919086,485652.588439287,5899029785.47,29833,33.5
269076302,1612475.84467944,1,North Central,57065335.14,1538875877.08,Total tax,1989002478.51,64.232260692,2365353,Kwara,123984964.29,1271808.45230955,340667.392369886,7910423599.11,36825,49.3
3184531676.68,7478255.62543089,1,South West,16294929287.49,60351831907.64,Total tax,82847403073.89,2724.545590433,9113605,Lagos,3016110202.08,6389903.64004376,1088351.98538713,91933017729.18,3345,92
12949425.65,1366207.32850274,1,North Central,63807814.36,1417735200.97,Total tax,1546931968.28,68.937456208,1869377,Nasarawa,52439527.3,991996.214898289,374211.11360445,3006864232.06,27117,41.9
47977760.05,1917789.53378705,1,North Central,769888412.69,1126360185.04,Total tax,2020167698.78,51.789112528,3954772,Niger,75941341,1517904.99544913,399884.538337925,2140043248.37,76363,37.5
750047222.01,3116782.02449389,1,South West,10459700805.47,6183290335.57,Total tax,17630145500.85,223.788330748,3751140,Ogun,237107137.8,2605505.36941967,511276.655074214,23286494298.58,16762,62.8
106273111.48,2502481.87877809,1,South West,1593710196.4,2430525487.65,Total tax,4362944621.46,223.282387097,3460877,Ondo,232435825.93,2146218.7974745,356263.081303592,5534717016.79,15500,66.3
192501528.72,2466518.61743841,1,South West,84968027.8,1289597693.9,Total tax,1605789079.66,369.361042050,3416959,Osun,38721829.24,2218203.00999109,248315.607447313,3953673184.84,9251,80
3865623087.63,4032123.49497652,1,South West,610935368.26,144347347.15,Total tax,4864619528.89,196.137414775,5580894,Oyo,243713725.85,3615293.17933739,416830.315639129,5943668543.02,28454,62.9
13400613.87,2084700.31059699,1,North Central,753121772.84,1752866750.75,Total tax,2636724187.46,103.727590334,3206531,Plateau,117335050,1463885.32935348,620814.981243505,3370302180.39,30913,46.6
741988044.35,4601135.38999425,1,South South,5360229876.06,22534835319.65,Total tax,29737420315.06,469.315247811,5198605,Rivers,1100367075,2927144.41741093,1673990.97258332,31051532678.27,11077,72.8
11537600,1672919.58625387,1,North West,339786597.32,1389668594.51,Total tax,1765704348.83,142.558657067,3702676,Sokoto,24711557,1237217.7812389,435701.805014972,2278854786.8,25973,30.1
50802622.06,2207684.20059578,1,North East,13212292.2,608967058.2,Total tax,701711972.46,42.127292420,2294800,Taraba,28730000,1788779.49968728,418904.700908504,1449988510.85,54473,23.3
1285871.05,1113650.25846317,1,North East,146313880.15,738606243.03,Total tax,903633369.23,51.016197090,2321339,Yobe,17427375,791184.351192138,322465.90727103,1136975201.59,45502,26.6
535150534.17,1427042.23963143,1,North West,512848695.7,1205792506.98,Total tax,2970991736.85,82.462476737,3278873,Zamfara,717200000,1170525.16071863,256517.078912804,3382897683.87,39762,33.9
