Direct Assessment,Labour Force Population,MDAs Revenue,Number of Records,Othregna,Other Taxes,Paye,Job Distribution,Job engagement,Population density,Population,Regname,Road Tax,Total tax,Total,Km²,Literacy Rate (In %)
15724265.5,1528582.17240803,164312741.16,1,South East,413330955.74,1070678656.32,Total Employed,1205683.6172538,383.941269841,2176947,Ebonyi,60493770,1560227647.56,1724540388.72,5670,53
201922472.63,2095235.33255755,2305913904.42,1,South South,980421695.68,3131907685.31,Total Employed,1569481.29336271,181.629367487,3233366,Edo,203024930.48,4517276784.1,6823190688.52,17802,45.8
68538923,1770459.24897478,238373509.2,1,South West,2093829762.75,816183597.07,Total Employed,1412959.57647105,377.610105462,2398957,Ekiti,33987774.95,3012540057.77,3250913566.97,6353,74.7
25607383,2467331.566966,1431402776,1,South East,417025186,2082253568,Total Employed,2006869.13184847,456.338081274,3267837,Enugu,228382610,2753268747,4184671523,7161,66.5
729761114.59,1736234.75203367,0,1,North Central,1429336427.19,14992874352.1,Total Employed,1312485.27791832,192.098564593,1405201,FCT Abuja,0,17151971893.88,17151971893.88,7315,61.4
1018839.42,995947.192153666,60109483.27,1,North East,1273323835.39,795582542.96,Total Employed,727056.535419558,126.014492754,2365040,Gombe,22782875,2092708092.77,2152817576.04,18768,39.3
302836486,3123271.13448935,289213783.92,1,South East,270328322.1,1613423398.8,Total Employed,2242920.26801589,710.228390597,3927563,Imo,80755831.56,2267344038.46,2556557822.38,5530,53.2
300440377.81,1553869.89064085,540625083.8,1,North West,1307957236.7,1406979784.11,Total Employed,1141942.71740819,188.347672108,4361002,Jigawa,132884980.9,3148262379.52,3688887463.32,23154,24.2
26131319.37,3504776.6366271,2139401074.18,1,North West,521655232.17,2930453546.63,Total Employed,2564296.15833728,132.749288863,6113503,Kaduna,128944895,3607184993.17,5746586067.35,46053,29.3
59857047.27,4022761.24363199,3080858638.67,1,North West,536802631.24,3424448578.61,Total Employed,2765631.25882096,467.005513884,9401288,Kano,138818424.29,4159926681.41,7240785320.08,20131,48.9
45729815,1799855.08305541,97455745,1,North West,75374520,1556423705,Total Employed,1542017.87481687,239.814153439,5801584,Katsina,27492622,1705020662,1802476407,24192,21.7
111296795.38,1556976.40750431,224949073.18,1,North West,70253381.52,793821573.14,Total Employed,1243932.75824155,88.492961957,3256541,Kebbi,4500000,979871750.04,1204820823.22,36800,25.3
22820925.87,2463101.66763015,485148996.38,1,North Central,573430518.71,4714948044.51,Total Employed,1977449.07919086,111.086481413,3314043,Kogi,102681300,5413880789.09,5899029785.47,29833,33.5
269076302,1612475.84467944,5921421120.6,1,North Central,57065335.14,1538875877.08,Total Employed,1271808.45230955,64.232260692,2365353,Kwara,123984964.29,1989002478.51,7910423599.11,36825,49.3
3184531676.68,7478255.62543089,9085614655.29,1,South West,16294929287.49,60351831907.64,Total Employed,6389903.64004376,2724.545590433,9113605,Lagos,3016110202.08,82847403073.89,91933017729.18,3345,92
12949425.65,1366207.32850274,1459932263.78,1,North Central,63807814.36,1417735200.97,Total Employed,991996.214898289,68.937456208,1869377,Nasarawa,52439527.3,1546931968.28,3006864232.06,27117,41.9
47977760.05,1917789.53378705,119875549.59,1,North Central,769888412.69,1126360185.04,Total Employed,1517904.99544913,51.789112528,3954772,Niger,75941341,2020167698.78,2140043248.37,76363,37.5
750047222.01,3116782.02449389,5656348797.73,1,South West,10459700805.47,6183290335.57,Total Employed,2605505.36941967,223.788330748,3751140,Ogun,237107137.8,17630145500.85,23286494298.58,16762,62.8
106273111.48,2502481.87877809,1171772395.33,1,South West,1593710196.4,2430525487.65,Total Employed,2146218.7974745,223.282387097,3460877,Ondo,232435825.93,4362944621.46,5534717016.79,15500,66.3
192501528.72,2466518.61743841,2347884105.18,1,South West,84968027.8,1289597693.9,Total Employed,2218203.00999109,369.361042050,3416959,Osun,38721829.24,1605789079.66,3953673184.84,9251,80
3865623087.63,4032123.49497652,1079049014.13,1,South West,610935368.26,144347347.15,Total Employed,3615293.17933739,196.137414775,5580894,Oyo,243713725.85,4864619528.89,5943668543.02,28454,62.9
13400613.87,2084700.31059699,733577992.93,1,North Central,753121772.84,1752866750.75,Total Employed,1463885.32935348,103.727590334,3206531,Plateau,117335050,2636724187.46,3370302180.39,30913,46.6
741988044.35,4601135.38999425,1314112363.21,1,South South,5360229876.06,22534835319.65,Total Employed,2927144.41741093,469.315247811,5198605,Rivers,1100367075,29737420315.06,31051532678.27,11077,72.8
11537600,1672919.58625387,513150437.97,1,North West,339786597.32,1389668594.51,Total Employed,1237217.7812389,142.558657067,3702676,Sokoto,24711557,1765704348.83,2278854786.8,25973,30.1
50802622.06,2207684.20059578,748276538.39,1,North East,13212292.2,608967058.2,Total Employed,1788779.49968728,42.127292420,2294800,Taraba,28730000,701711972.46,1449988510.85,54473,23.3
1285871.05,1113650.25846317,233341832.36,1,North East,146313880.15,738606243.03,Total Employed,791184.351192138,51.016197090,2321339,Yobe,17427375,903633369.23,1136975201.59,45502,26.6
535150534.17,1427042.23963143,411905947.02,1,North West,512848695.7,1205792506.98,Total Employed,1170525.16071863,82.462476737,3278873,Zamfara,717200000,2970991736.85,3382897683.87,39762,33.9
158476671.43,2023767.76482663,757124570.39,1,South East,580887632.7,1038978793.33,Total Unemployed,639714.000948087,450.218354430,2845380,Abia,160341626.65,1938684724.11,2695809294.5,6320,72.5
58722421.94,1588278.28392841,517822259.92,1,North East,217903162.34,976560230.82,Total Unemployed,331046.133278925,86.110734892,3178950,Adamawa,30903850,1284089665.1,1801911925.02,36917,40.5
97539502,3599981.39302059,1654609843,1,South South,886190214,3418354546,Total Unemployed,1357753.69447953,551.059313656,3902051,Akwa Ibom,93859405,4495943667,6150553510,7081,70.7
173425125.83,3251914.78158754,1163283102.64,1,South East,598332477.65,6059894036.03,Total Unemployed,568232.808331329,862.474814203,4177828,Anambra,176158015,7007809654.51,8171092757.15,4844,75.1
5215051.32,2122724.49853433,42321266.71,1,North East,64570757.36,1600752229.06,Total Unemployed,498601.053143148,101.513318934,4653066,Bauchi,35397950.03,1705935987.77,1748257254.48,45837,34.1
70818024.59,1362013.64248971,36985521.64,1,South South,131359372.29,2243347904.06,Total Unemployed,443437.306716789,158.221015502,1704515,Bayelsa,12373180.81,2457898481.75,2494884003.39,10773,62
162337345.96,2777485.24929905,958237799.01,1,North Central,102733370.7,1359344218.5,Total Unemployed,559255.262192597,124.890366717,4253641,Benue,216932446,1841347381.16,2799585180.17,34059,45.1
156107027.41,2468889.84445171,590256865.25,1,North East,378116430.35,900484398.99,Total Unemployed,775062.901583673,58.832463539,4171104,Borno,98278117,1532985973.75,2123242839,70898,14.5
20261976.63,1936997.97607713,627378702.62,1,South South,744245114.1,1313473573.53,Total Unemployed,593387.402070241,143.529867037,2892988,Cross River,178996188.45,2256976852.71,2884355555.33,20156,62.3
75564555.91,3120369.50975945,1259805788.01,1,South South,2154023239.46,9452496088.16,Total Unemployed,791284.510273259,232.367781670,4112445,Delta,177454357.66,11859538241.19,13119344029.2,17698,65.7
15724265.5,1528582.17240803,164312741.16,1,South East,413330955.74,1070678656.32,Total Unemployed,322898.555154224,383.941269841,2176947,Ebonyi,60493770,1560227647.56,1724540388.72,5670,53
201922472.63,2095235.33255755,2305913904.42,1,South South,980421695.68,3131907685.31,Total Unemployed,525754.039194845,181.629367487,3233366,Edo,203024930.48,4517276784.1,6823190688.52,17802,45.8
68538923,1770459.24897478,238373509.2,1,South West,2093829762.75,816183597.07,Total Unemployed,357499.672503737,377.610105462,2398957,Ekiti,33987774.95,3012540057.77,3250913566.97,6353,74.7
25607383,2467331.566966,1431402776,1,South East,417025186,2082253568,Total Unemployed,460462.435117527,456.338081274,3267837,Enugu,228382610,2753268747,4184671523,7161,66.5
729761114.59,1736234.75203367,0,1,North Central,1429336427.19,14992874352.1,Total Unemployed,423749.474115342,192.098564593,1405201,FCT Abuja,0,17151971893.88,17151971893.88,7315,61.4
1018839.42,995947.192153666,60109483.27,1,North East,1273323835.39,795582542.96,Total Unemployed,268890.656734108,126.014492754,2365040,Gombe,22782875,2092708092.77,2152817576.04,18768,39.3
302836486,3123271.13448935,289213783.92,1,South East,270328322.1,1613423398.8,Total Unemployed,880350.866473453,710.228390597,3927563,Imo,80755831.56,2267344038.46,2556557822.38,5530,53.2
300440377.81,1553869.89064085,540625083.8,1,North West,1307957236.7,1406979784.11,Total Unemployed,411927.173232662,188.347672108,4361002,Jigawa,132884980.9,3148262379.52,3688887463.32,23154,24.2
26131319.37,3504776.6366271,2139401074.18,1,North West,521655232.17,2930453546.63,Total Unemployed,940480.478289822,132.749288863,6113503,Kaduna,128944895,3607184993.17,5746586067.35,46053,29.3
59857047.27,4022761.24363199,3080858638.67,1,North West,536802631.24,3424448578.61,Total Unemployed,1257129.98481104,467.005513884,9401288,Kano,138818424.29,4159926681.41,7240785320.08,20131,48.9
45729815,1799855.08305541,97455745,1,North West,75374520,1556423705,Total Unemployed,257837.208238545,239.814153439,5801584,Katsina,27492622,1705020662,1802476407,24192,21.7
111296795.38,1556976.40750431,224949073.18,1,North West,70253381.52,793821573.14,Total Unemployed,313043.649262755,88.492961957,3256541,Kebbi,4500000,979871750.04,1204820823.22,36800,25.3
22820925.87,2463101.66763015,485148996.38,1,North Central,573430518.71,4714948044.51,Total Unemployed,485652.588439287,111.086481413,3314043,Kogi,102681300,5413880789.09,5899029785.47,29833,33.5
269076302,1612475.84467944,5921421120.6,1,North Central,57065335.14,1538875877.08,Total Unemployed,340667.392369886,64.232260692,2365353,Kwara,123984964.29,1989002478.51,7910423599.11,36825,49.3
3184531676.68,7478255.62543089,9085614655.29,1,South West,16294929287.49,60351831907.64,Total Unemployed,1088351.98538713,2724.545590433,9113605,Lagos,3016110202.08,82847403073.89,91933017729.18,3345,92
12949425.65,1366207.32850274,1459932263.78,1,North Central,63807814.36,1417735200.97,Total Unemployed,374211.11360445,68.937456208,1869377,Nasarawa,52439527.3,1546931968.28,3006864232.06,27117,41.9
47977760.05,1917789.53378705,119875549.59,1,North Central,769888412.69,1126360185.04,Total Unemployed,399884.538337925,51.789112528,3954772,Niger,75941341,2020167698.78,2140043248.37,76363,37.5
750047222.01,3116782.02449389,5656348797.73,1,South West,10459700805.47,6183290335.57,Total Unemployed,511276.655074214,223.788330748,3751140,Ogun,237107137.8,17630145500.85,23286494298.58,16762,62.8
106273111.48,2502481.87877809,1171772395.33,1,South West,1593710196.4,2430525487.65,Total Unemployed,356263.081303592,223.282387097,3460877,Ondo,232435825.93,4362944621.46,5534717016.79,15500,66.3
192501528.72,2466518.61743841,2347884105.18,1,South West,84968027.8,1289597693.9,Total Unemployed,248315.607447313,369.361042050,3416959,Osun,38721829.24,1605789079.66,3953673184.84,9251,80
3865623087.63,4032123.49497652,1079049014.13,1,South West,610935368.26,144347347.15,Total Unemployed,416830.315639129,196.137414775,5580894,Oyo,243713725.85,4864619528.89,5943668543.02,28454,62.9
13400613.87,2084700.31059699,733577992.93,1,North Central,753121772.84,1752866750.75,Total Unemployed,620814.981243505,103.727590334,3206531,Plateau,117335050,2636724187.46,3370302180.39,30913,46.6
741988044.35,4601135.38999425,1314112363.21,1,South South,5360229876.06,22534835319.65,Total Unemployed,1673990.97258332,469.315247811,5198605,Rivers,1100367075,29737420315.06,31051532678.27,11077,72.8
11537600,1672919.58625387,513150437.97,1,North West,339786597.32,1389668594.51,Total Unemployed,435701.805014972,142.558657067,3702676,Sokoto,24711557,1765704348.83,2278854786.8,25973,30.1
50802622.06,2207684.20059578,748276538.39,1,North East,13212292.2,608967058.2,Total Unemployed,418904.700908504,42.127292420,2294800,Taraba,28730000,701711972.46,1449988510.85,54473,23.3
1285871.05,1113650.25846317,233341832.36,1,North East,146313880.15,738606243.03,Total Unemployed,322465.90727103,51.016197090,2321339,Yobe,17427375,903633369.23,1136975201.59,45502,26.6
535150534.17,1427042.23963143,411905947.02,1,North West,512848695.7,1205792506.98,Total Unemployed,256517.078912804,82.462476737,3278873,Zamfara,717200000,2970991736.85,3382897683.87,39762,33.9
